classType.docID | Title
******************** Cluster #1 ********************
cricket.2016 | Batsman Van Jaarsveld joins Kent
football.3002 | Van Nistelrooy set to return
football.3004 | Ronaldo considering new contract
football.3008 | Gerrard plays down European hopes
football.3009 | Duff ruled out of Barcelona clash
football.3010 | Chelsea clinch cup in extra-time
football.3014 | Clyde 0-5 Celtic
football.3016 | Kenyon denies Robben Barca return
football.3017 | Bridge could miss rest of season
football.3018 | Parry firm over Gerrard
football.3020 | Robben sidelined with broken foot
football.3021 | Giggs handed Wales leading role
football.3022 | Bosvelt optimistic over new deal
football.3023 | Sociedad set to rescue Mladenovic
football.3024 | Parry relishes Anfield challenge
football.3025 | Time to get tough on friendlies?
football.3026 | Barcelona title hopes hit by loss
football.3027 | Parry puts Gerrard 'above money'
football.3028 | Bees handed potential Man Utd tie
football.3029 | England's defensive crisis grows
football.3030 | Ferdinand casts doubt over Glazer
football.3032 | McCall earns Tannadice reprieve
football.3033 | Kewell waits as injury drags on
football.3036 | Weir poised for Sunderland move
football.3041 | Israeli club look to Africa
football.3044 | Bellamy under new fire
football.3047 | Benitez issues warning to Gerrard
football.3048 | Owen determined to stay in Madrid
football.3049 | Wenger handed summer war chest
football.3050 | Souness delight at Euro progress
football.3051 | Downing injury mars Uefa victory
football.3052 | Rangers seal Old Firm win
football.3054 | Palace threat over Cantona masks
football.3056 | Jol joy at 'professional' Cup win
football.3057 | Owen delighted with Real display
football.3058 | Ferguson fears Milan cutting edge
football.3059 | Rush future at Chester uncertain
football.3060 | Reyes tricked into Real admission
football.3061 | Benitez joy as Reds take control
football.3062 | Souness eyes summer move for Owen
football.3063 | Wenger dejected as Arsenal slump
football.3064 | Stam spices up Man Utd encounter
football.3065 | Mourinho defiant on Chelsea form
football.3067 | Coach Ranieri sacked by Valencia
football.3068 | Cole faces lengthy injury lay-off
football.3071 | Unclear future for striker Baros
football.3073 | Robben plays down European return
football.3074 | Adriano's Chelsea link rejected
football.3075 | FA decides not to punish Mourinho
football.3077 | Boro suffer Morrison injury blow
football.3078 | Mourinho receives Robson warning
football.3079 | QPR keeper Day heads for Preston
football.3080 | Cudicini misses Carling Cup final
football.3081 | Beattie return calms attack fears
football.3082 | Keegan hails comeback king Fowler
football.3083 | Thompson says Gerrard should stay
football.3084 | Cole refuses to blame van Persie
football.3085 | Blackburn v Burnley
football.3086 | Brentford v Southampton
football.3087 | Desailly backs Blues revenge trip
football.3088 | Desailly backs Blues revenge trip
football.3089 | Mourinho expects fight to finish
football.3090 | Cup holders Man Utd visit Everton
